Text,Label
aaj bhi normal din tha,Neutral
aaj bhi wahi wala din tha,Neutral
aaj ka din acha gaya,Positive
aaj ka din kaafi normal tha,Neutral
aaj koi khas baat nahi hui,Neutral
aaj koi zyada kaam nahi kiya,Neutral
aaj kuch bhi khaas nahi,Neutral
aaj weather theek tha,Neutral
aaj zyada kuch nahi kiya,Neutral
apna muh band kar bakwaas band,Negative
apna muh band kar besharam insaan,Negative
apna muh band kar besharam,Negative
apna muh band rakh beghairat kahin ka,Negative
apna muh band rakh faltu baat mat kar,Negative
apna muh band rakh faltu insaan,Negative
apna muh band rakh harami,Negative
apni auqat dekh aaine mein pehle,Negative
apni auqat dekh pehle aaine mein,Negative
apni auqat mein reh badzaat,Negative
apni auqat mein reh beghairat,Negative
apni auqat mein reh chup rehna seekh,Negative
apni auqat mein reh gadhe,Negative
apni auqat mein reh gandu,Negative
apni ghatia soch apne paas rakh,Negative
apni soch seedhi kar pehle beghairat,Negative
apni zuban pe lagaam laga pehle,Negative
apni zuban pe lagaam laga saale,Negative
apni zuban sambhal warna acha nahi hoga,Negative
apni zuban sambhal warna pachtaega,Negative
arey yaar ye tou kamaal hai,Positive
bade aaye baaton ke shahzade gadhe,Negative
bade aaye baaton ke shahzade kameene,Negative
bade aaye mujhe sikhane wale gadhe,Negative
bade aaye mujhe sikhane wale ullu,Negative
bahut ganda sulook kiya us ne,Negative
bahut khoobsurat jagah hai ye,Positive
bakwas band kar apni warna,Negative
bas theek chal raha hai sab,Neutral
bata kya bigaada tha maine tujhka saalay,Negative
bata nahi sakta kuch khaas nahi tha,Neutral
behen ke takke kya soch raha hai tu,Negative
besharam aur nalayak hai tu bilkul,Negative
besharam kahin ka chup ho ja,Negative
bhosdike kya kar raha hai,Negative
bilkul bakwas cheez hai ye,Negative
bilkul faltu aur napasandida cheez hai,Negative
bilkul jannati jagah hai ye,Positive
bilkul ullu ka pattha hai ye,Negative
bohat aala aur mast jagah hai,Positive
bohat aala insaan hai ye,Positive
bohat acha response mila,Positive
bohat acha response tha unka,Positive
bohat acha service wala hai ye,Positive
bohat acha tha aaj ka din,Positive
bohat achi acting ki hai usne,Positive
bohat achi aur meaningful baat hai,Positive
bohat achi cheez hai shukriya,Positive
bohat achi niyat hai us ki,Positive
bohat achi planning hai yaar,Positive
bohat achi service di unhon ne,Positive
bohat achi taraf se kaam kiya,Positive
bohat emotional aur dil chhu lene wala tha,Positive
bohat hi achi soch hai teri,Positive
bohat hi khoobsurat ehsaas tha,Positive
